Entity,Code,Date,Total confirmed cases of COVID-19 (cases)
Algeria,DZA,2020-02-08,0
Algeria,DZA,2020-02-09,0
Algeria,DZA,2020-02-10,0
Algeria,DZA,2020-02-11,0
Algeria,DZA,2020-02-12,0
Algeria,DZA,2020-02-13,0
Algeria,DZA,2020-02-14,0
Algeria,DZA,2020-02-15,0
Algeria,DZA,2020-02-16,0
Algeria,DZA,2020-02-17,0
Algeria,DZA,2020-02-18,0
Algeria,DZA,2020-02-19,0
Algeria,DZA,2020-02-20,0
Algeria,DZA,2020-02-21,0
Algeria,DZA,2020-02-22,0
Algeria,DZA,2020-02-23,0
Algeria,DZA,2020-02-24,0
Algeria,DZA,2020-02-25,0
Algeria,DZA,2020-02-26,1
Algeria,DZA,2020-02-27,1
Algeria,DZA,2020-02-28,1
Algeria,DZA,2020-02-29,1
Algeria,DZA,2020-03-01,1
Algeria,DZA,2020-03-02,3
Algeria,DZA,2020-03-04,5
Algeria,DZA,2020-03-05,12
Algeria,DZA,2020-03-06,17
Algeria,DZA,2020-03-09,20
Algeria,DZA,2020-03-12,20
Algeria,DZA,2020-03-13,24
Algeria,DZA,2020-03-14,26
Algeria,DZA,2020-03-15,37
Algeria,DZA,2020-03-16,48
Algeria,DZA,2020-03-17,60
Algeria,DZA,2020-03-18,60
Algeria,DZA,2020-03-19,73
Algeria,DZA,2020-03-20,82
Algeria,DZA,2020-03-21,94
Algeria,DZA,2020-03-22,94
Algeria,DZA,2020-03-23,102
Algeria,DZA,2020-03-24,189
Algeria,DZA,2020-03-25,231
Algeria,DZA,2020-03-26,264
Algeria,DZA,2020-03-27,305
Algeria,DZA,2020-03-28,305
Algeria,DZA,2020-03-29,409
Algeria,DZA,2020-03-30,454
Algeria,DZA,2020-03-31,511
Algeria,DZA,2020-04-01,584
Algeria,DZA,2020-04-02,847
Algeria,DZA,2020-04-03,847
Algeria,DZA,2020-04-04,986
Andorra,AND,2020-03-03,1
Andorra,AND,2020-03-14,2
Andorra,AND,2020-03-16,5
Andorra,AND,2020-03-17,14
Andorra,AND,2020-03-18,14
Andorra,AND,2020-03-19,53
Andorra,AND,2020-03-20,75
Andorra,AND,2020-03-21,75
Andorra,AND,2020-03-22,88
Andorra,AND,2020-03-23,113
Andorra,AND,2020-03-24,133
Andorra,AND,2020-03-25,164
Andorra,AND,2020-03-26,188
Andorra,AND,2020-03-27,224
Andorra,AND,2020-03-28,267
Andorra,AND,2020-03-29,308
Andorra,AND,2020-03-30,334
Andorra,AND,2020-03-31,370
Andorra,AND,2020-04-01,376
Andorra,AND,2020-04-02,390
Andorra,AND,2020-04-03,428
Andorra,AND,2020-04-04,439
Angola,AGO,2020-03-22,2
Angola,AGO,2020-03-23,2
Angola,AGO,2020-03-24,2
Angola,AGO,2020-03-25,2
Angola,AGO,2020-03-26,2
Angola,AGO,2020-03-27,3
Angola,AGO,2020-03-28,4
Angola,AGO,2020-03-29,4
Angola,AGO,2020-03-30,7
Angola,AGO,2020-03-31,7
Angola,AGO,2020-04-01,7
Angola,AGO,2020-04-02,8
Angola,AGO,2020-04-03,8
Angola,AGO,2020-04-04,8
Anguilla,AIA,2020-03-27,2
Anguilla,AIA,2020-03-28,2
Anguilla,AIA,2020-03-29,2
Anguilla,AIA,2020-03-30,2
Anguilla,AIA,2020-03-31,2
Anguilla,AIA,2020-04-01,2
Anguilla,AIA,2020-04-02,2
Anguilla,AIA,2020-04-03,3
Anguilla,AIA,2020-04-04,3
Antigua and Barbuda,ATG,2020-03-15,1
Antigua and Barbuda,ATG,2020-03-21,1
Antigua and Barbuda,ATG,2020-03-22,1
Antigua and Barbuda,ATG,2020-03-23,1
Antigua and Barbuda,ATG,2020-03-24,1
Antigua and Barbuda,ATG,2020-03-25,3
Antigua and Barbuda,ATG,2020-03-26,3
Antigua and Barbuda,ATG,2020-03-27,7
Antigua and Barbuda,ATG,2020-03-28,7
Antigua and Barbuda,ATG,2020-03-29,7
Antigua and Barbuda,ATG,2020-03-30,7
Antigua and Barbuda,ATG,2020-03-31,7
Antigua and Barbuda,ATG,2020-04-01,7
Antigua and Barbuda,ATG,2020-04-02,7
Antigua and Barbuda,ATG,2020-04-03,9
Antigua and Barbuda,ATG,2020-04-04,15
Argentina,ARG,2020-03-04,1
Argentina,ARG,2020-03-06,2
Argentina,ARG,2020-03-07,8
Argentina,ARG,2020-03-08,9
Argentina,ARG,2020-03-09,12
Argentina,ARG,2020-03-11,19
Argentina,ARG,2020-03-13,31
Argentina,ARG,2020-03-14,34
Argentina,ARG,2020-03-15,45
Argentina,ARG,2020-03-16,56
Argentina,ARG,2020-03-17,65
Argentina,ARG,2020-03-18,79
Argentina,ARG,2020-03-19,97
Argentina,ARG,2020-03-20,128
Argentina,ARG,2020-03-21,158
Argentina,ARG,2020-03-22,225
Argentina,ARG,2020-03-23,266
Argentina,ARG,2020-03-24,301
Argentina,ARG,2020-03-25,387
Argentina,ARG,2020-03-26,502
Argentina,ARG,2020-03-27,589
Argentina,ARG,2020-03-28,690
Argentina,ARG,2020-03-29,745
Argentina,ARG,2020-03-30,820
Argentina,ARG,2020-03-31,966
Argentina,ARG,2020-04-01,966
Argentina,ARG,2020-04-02,1133
Argentina,ARG,2020-04-03,1133
Argentina,ARG,2020-04-04,1265
Armenia,ARM,2019-12-31,0
Armenia,ARM,2020-01-01,0
Armenia,ARM,2020-01-02,0
Armenia,ARM,2020-01-03,0
Armenia,ARM,2020-01-04,0
Armenia,ARM,2020-01-05,0
Armenia,ARM,2020-01-06,0
Armenia,ARM,2020-01-07,0
Armenia,ARM,2020-01-08,0
Armenia,ARM,2020-01-09,0
Armenia,ARM,2020-01-10,0
Armenia,ARM,2020-01-11,0
Armenia,ARM,2020-01-12,0
Armenia,ARM,2020-01-13,0
Armenia,ARM,2020-01-14,0
Armenia,ARM,2020-01-15,0
Armenia,ARM,2020-01-16,0
Armenia,ARM,2020-01-17,0
Armenia,ARM,2020-01-18,0
Armenia,ARM,2020-01-19,0
Armenia,ARM,2020-01-20,0
Armenia,ARM,2020-01-21,0
Armenia,ARM,2020-01-22,0
Armenia,ARM,2020-01-23,0
Armenia,ARM,2020-01-24,0
Armenia,ARM,2020-01-25,0
Armenia,ARM,2020-01-26,0
Armenia,ARM,2020-01-27,0
Armenia,ARM,2020-01-28,0
Armenia,ARM,2020-01-29,0
Armenia,ARM,2020-01-30,0
Armenia,ARM,2020-01-31,0
Armenia,ARM,2020-02-01,0
Armenia,ARM,2020-02-02,0
Armenia,ARM,2020-02-03,0
Armenia,ARM,2020-02-04,0
Armenia,ARM,2020-02-05,0
Armenia,ARM,2020-02-06,0
Armenia,ARM,2020-02-07,0
Armenia,ARM,2020-02-08,0
Armenia,ARM,2020-02-09,0
Armenia,ARM,2020-02-10,0
Armenia,ARM,2020-02-11,0
Armenia,ARM,2020-02-12,0
Armenia,ARM,2020-02-13,0
Armenia,ARM,2020-02-14,0
Armenia,ARM,2020-02-15,0
Armenia,ARM,2020-02-16,0
Armenia,ARM,2020-02-17,0
Armenia,ARM,2020-02-18,0
Armenia,ARM,2020-02-19,0
Armenia,ARM,2020-02-20,0
Armenia,ARM,2020-02-21,0
Armenia,ARM,2020-02-22,0
Armenia,ARM,2020-02-23,0
Armenia,ARM,2020-02-24,0
Armenia,ARM,2020-02-25,0
Armenia,ARM,2020-02-26,0
Armenia,ARM,2020-02-27,0
Armenia,ARM,2020-02-28,0
Armenia,ARM,2020-02-29,0
Armenia,ARM,2020-03-01,1
Armenia,ARM,2020-03-02,1
Armenia,ARM,2020-03-12,4
Armenia,ARM,2020-03-13,6
Armenia,ARM,2020-03-14,13
Armenia,ARM,2020-03-15,20
Armenia,ARM,2020-03-16,30
Armenia,ARM,2020-03-17,52
Armenia,ARM,2020-03-18,78
Armenia,ARM,2020-03-19,115
Armenia,ARM,2020-03-20,122
Armenia,ARM,2020-03-21,136
Armenia,ARM,2020-03-22,160
Armenia,ARM,2020-03-23,190
Armenia,ARM,2020-03-24,194
Armenia,ARM,2020-03-25,265
Armenia,ARM,2020-03-26,290
Armenia,ARM,2020-03-27,329
Armenia,ARM,2020-03-28,372
Armenia,ARM,2020-03-29,424
Armenia,ARM,2020-03-30,424
Armenia,ARM,2020-03-31,482
Armenia,ARM,2020-04-01,532
Armenia,ARM,2020-04-02,571
Armenia,ARM,2020-04-03,663
Armenia,ARM,2020-04-04,736
Aruba,ABW,2020-03-13,2
Aruba,ABW,2020-03-20,4
Aruba,ABW,2020-03-24,12
Aruba,ABW,2020-03-25,17
Aruba,ABW,2020-03-26,19
Aruba,ABW,2020-03-27,28
Aruba,ABW,2020-03-28,28
Aruba,ABW,2020-03-29,28
Aruba,ABW,2020-03-30,50
Aruba,ABW,2020-04-01,55
Aruba,ABW,2020-04-02,55
Aruba,ABW,2020-04-03,60
Aruba,ABW,2020-04-04,62
Asia,,2019-12-31,27
Asia,,2020-01-01,27
Asia,,2020-01-02,27
Asia,,2020-01-03,44
Asia,,2020-01-04,44
Asia,,2020-01-05,59
Asia,,2020-01-06,59
Asia,,2020-01-07,59
Asia,,2020-01-08,59
Asia,,2020-01-09,59
Asia,,2020-01-10,59
Asia,,2020-01-11,59
Asia,,2020-01-12,59
Asia,,2020-01-13,60
Asia,,2020-01-14,60
Asia,,2020-01-15,61
Asia,,2020-01-16,61
Asia,,2020-01-17,66
Asia,,2020-01-18,83
Asia,,2020-01-19,219
Asia,,2020-01-20,239
Asia,,2020-01-21,391
Asia,,2020-01-22,533
Asia,,2020-01-23,630
Asia,,2020-01-24,896
Asia,,2020-01-25,1344
Asia,,2020-01-26,2013
Asia,,2020-01-27,2807
Asia,,2020-01-28,4572
Asia,,2020-01-29,6047
Asia,,2020-01-30,7799
Asia,,2020-01-31,9793
Asia,,2020-02-01,11903
Asia,,2020-02-02,14507
Asia,,2020-02-03,17321
Asia,,2020-02-04,20561
Asia,,2020-02-05,24456
Asia,,2020-02-06,28195
Asia,,2020-02-07,31367
Asia,,2020-02-08,34800
Asia,,2020-02-09,37418
Asia,,2020-02-10,40399
Asia,,2020-02-11,42894
Asia,,2020-02-12,44925
Asia,,2020-02-13,60074
Asia,,2020-02-14,64240
Asia,,2020-02-15,66798
Asia,,2020-02-16,68826
Asia,,2020-02-17,70892
Asia,,2020-02-18,72788
Asia,,2020-02-19,74564
Asia,,2020-02-20,75017
Asia,,2020-02-21,75996
Asia,,2020-02-22,77044
Asia,,2020-02-23,77989
Asia,,2020-02-24,78402
Asia,,2020-02-25,79077
Asia,,2020-02-26,79833
Asia,,2020-02-27,80819
Asia,,2020-02-28,81739
Asia,,2020-02-29,83264
Asia,,2020-03-01,84669
Asia,,2020-03-02,85997
Asia,,2020-03-03,87270
Asia,,2020-03-04,88784
Asia,,2020-03-05,90037
Asia,,2020-03-06,91394
Asia,,2020-03-07,93356
Asia,,2020-03-08,94981
Asia,,2020-03-09,96146
Asia,,2020-03-10,97058
Asia,,2020-03-11,98403
Asia,,2020-03-12,100036
Asia,,2020-03-13,101409
Asia,,2020-03-14,103230
Asia,,2020-03-15,105037
Asia,,2020-03-16,106980
Asia,,2020-03-17,108803
Asia,,2020-03-18,110748
Asia,,2020-03-19,112856
Asia,,2020-03-20,115259
Asia,,2020-03-21,117799
Asia,,2020-03-22,120778
Asia,,2020-03-23,123514
Asia,,2020-03-24,126722
Asia,,2020-03-25,130855
Asia,,2020-03-26,135470
Asia,,2020-03-27,140851
Asia,,2020-03-28,147900
Asia,,2020-03-29,155312
Asia,,2020-03-30,162410
Asia,,2020-03-31,170718
Asia,,2020-04-01,177657
Asia,,2020-04-02,186211
Asia,,2020-04-03,195087
Asia,,2020-04-04,201388
Australia,AUS,2019-12-31,0
Australia,AUS,2020-01-01,0
Australia,AUS,2020-01-02,0
Australia,AUS,2020-01-03,0
Australia,AUS,2020-01-04,0
Australia,AUS,2020-01-05,0
Australia,AUS,2020-01-06,0
Australia,AUS,2020-01-07,0
Australia,AUS,2020-01-08,0
Australia,AUS,2020-01-09,0
Australia,AUS,2020-01-10,0
Australia,AUS,2020-01-11,0
Australia,AUS,2020-01-12,0
Australia,AUS,2020-01-13,0
Australia,AUS,2020-01-14,0
Australia,AUS,2020-01-15,0
Australia,AUS,2020-01-16,0
Australia,AUS,2020-01-17,0
Australia,AUS,2020-01-18,0
Australia,AUS,2020-01-19,0
Australia,AUS,2020-01-20,0
Australia,AUS,2020-01-21,0
Australia,AUS,2020-01-22,0
Australia,AUS,2020-01-23,0
Australia,AUS,2020-01-24,0
Australia,AUS,2020-01-25,1
Australia,AUS,2020-01-26,4
Australia,AUS,2020-01-27,4
Australia,AUS,2020-01-28,4
Australia,AUS,2020-01-29,4
Australia,AUS,2020-01-30,6
Australia,AUS,2020-01-31,7
Australia,AUS,2020-02-01,9
Australia,AUS,2020-02-02,11
Australia,AUS,2020-02-03,11
Australia,AUS,2020-02-04,11
Australia,AUS,2020-02-05,12
Australia,AUS,2020-02-06,13
Australia,AUS,2020-02-07,14
Australia,AUS,2020-02-08,14
Australia,AUS,2020-02-09,14
Australia,AUS,2020-02-10,14
Australia,AUS,2020-02-11,14
Australia,AUS,2020-02-12,14
Australia,AUS,2020-02-13,14
Australia,AUS,2020-02-14,15
Australia,AUS,2020-02-15,15
Australia,AUS,2020-02-16,15
Australia,AUS,2020-02-17,15
Australia,AUS,2020-02-18,15
Australia,AUS,2020-02-19,15
Australia,AUS,2020-02-20,15
Australia,AUS,2020-02-21,17
Australia,AUS,2020-02-22,21
Australia,AUS,2020-02-23,22
Australia,AUS,2020-02-24,22
Australia,AUS,2020-02-25,22
Australia,AUS,2020-02-26,22
Australia,AUS,2020-02-27,23
Australia,AUS,2020-02-28,23
Australia,AUS,2020-02-29,25
Australia,AUS,2020-03-01,26
Australia,AUS,2020-03-02,29
Australia,AUS,2020-03-03,33
Australia,AUS,2020-03-04,41
Australia,AUS,2020-03-05,52
Australia,AUS,2020-03-06,59
Australia,AUS,2020-03-07,63
Australia,AUS,2020-03-08,74
Australia,AUS,2020-03-09,80
Australia,AUS,2020-03-10,100
Australia,AUS,2020-03-11,112
Australia,AUS,2020-03-12,126
Australia,AUS,2020-03-13,156
Australia,AUS,2020-03-14,197
Australia,AUS,2020-03-15,249
Australia,AUS,2020-03-16,298
Australia,AUS,2020-03-17,375
Australia,AUS,2020-03-18,454
Australia,AUS,2020-03-19,565
Australia,AUS,2020-03-20,709
Australia,AUS,2020-03-21,874
Australia,AUS,2020-03-22,1098
Australia,AUS,2020-03-23,1709
Australia,AUS,2020-03-24,1823
Australia,AUS,2020-03-25,2423
Australia,AUS,2020-03-26,2799
Australia,AUS,2020-03-27,3166
Australia,AUS,2020-03-28,3378
Australia,AUS,2020-03-29,3809
Australia,AUS,2020-03-30,4093
Australia,AUS,2020-03-31,4557
Australia,AUS,2020-04-01,4707
Australia,AUS,2020-04-02,4976
Australia,AUS,2020-04-03,5224
Australia,AUS,2020-04-04,5548
Austria,AUT,2019-12-31,0
Austria,AUT,2020-01-01,0
Austria,AUT,2020-01-02,0
Austria,AUT,2020-01-03,0
Austria,AUT,2020-01-04,0
Austria,AUT,2020-01-05,0
Austria,AUT,2020-01-06,0
Austria,AUT,2020-01-07,0
Austria,AUT,2020-01-08,0
Austria,AUT,2020-01-09,0
Austria,AUT,2020-01-10,0
Austria,AUT,2020-01-11,0
Austria,AUT,2020-01-12,0
Austria,AUT,2020-01-13,0
Austria,AUT,2020-01-14,0
Austria,AUT,2020-01-15,0
Austria,AUT,2020-01-16,0
Austria,AUT,2020-01-17,0
Austria,AUT,2020-01-18,0
Austria,AUT,2020-01-19,0
Austria,AUT,2020-01-20,0
Austria,AUT,2020-01-21,0
Austria,AUT,2020-01-22,0
Austria,AUT,2020-01-23,0
Austria,AUT,2020-01-24,0
Austria,AUT,2020-01-25,0
Austria,AUT,2020-01-26,0
Austria,AUT,2020-01-27,0
Austria,AUT,2020-01-28,0
Austria,AUT,2020-01-29,0
Austria,AUT,2020-01-30,0
Austria,AUT,2020-01-31,0
Austria,AUT,2020-02-01,0
Austria,AUT,2020-02-02,0
Austria,AUT,2020-02-03,0
Austria,AUT,2020-02-04,0
Austria,AUT,2020-02-05,0
Austria,AUT,2020-02-06,0
Austria,AUT,2020-02-07,0
Austria,AUT,2020-02-08,0
Austria,AUT,2020-02-09,0
Austria,AUT,2020-02-10,0
Austria,AUT,2020-02-11,0
Austria,AUT,2020-02-12,0
Austria,AUT,2020-02-13,0
Austria,AUT,2020-02-14,0
Austria,AUT,2020-02-15,0
Austria,AUT,2020-02-16,0
Austria,AUT,2020-02-17,0
Austria,AUT,2020-02-18,0
Austria,AUT,2020-02-19,0
Austria,AUT,2020-02-20,0
Austria,AUT,2020-02-21,0
Austria,AUT,2020-02-22,0
Austria,AUT,2020-02-23,0
Austria,AUT,2020-02-24,0
Austria,AUT,2020-02-25,0
Austria,AUT,2020-02-26,2
Austria,AUT,2020-02-27,2
Austria,AUT,2020-02-28,5
Austria,AUT,2020-02-29,7
Austria,AUT,2020-03-01,10
Austria,AUT,2020-03-02,14
Austria,AUT,2020-03-03,18
Austria,AUT,2020-03-04,24
Austria,AUT,2020-03-05,29
Austria,AUT,2020-03-06,41
Austria,AUT,2020-03-07,74
Austria,AUT,2020-03-08,99
Austria,AUT,2020-03-09,102
Austria,AUT,2020-03-10,131
Austria,AUT,2020-03-11,182
Austria,AUT,2020-03-12,246
Austria,AUT,2020-03-13,361
Austria,AUT,2020-03-14,504
Austria,AUT,2020-03-15,655
Austria,AUT,2020-03-16,860
Austria,AUT,2020-03-17,1016
Austria,AUT,2020-03-18,1332
Austria,AUT,2020-03-19,1646
Austria,AUT,2020-03-20,2196
Austria,AUT,2020-03-21,2649
Austria,AUT,2020-03-22,3024
Austria,AUT,2020-03-23,3631
Austria,AUT,2020-03-24,4486
Austria,AUT,2020-03-25,5282
Austria,AUT,2020-03-26,5888
Austria,AUT,2020-03-27,7029
Austria,AUT,2020-03-28,7697
Austria,AUT,2020-03-29,8291
Austria,AUT,2020-03-30,8813
Austria,AUT,2020-03-31,9618
Austria,AUT,2020-04-01,10182
Austria,AUT,2020-04-02,10711
Austria,AUT,2020-04-03,11129
Austria,AUT,2020-04-04,11525
Azerbaijan,AZE,2019-12-31,0
Azerbaijan,AZE,2020-01-01,0
Azerbaijan,AZE,2020-01-02,0
Azerbaijan,AZE,2020-01-03,0
Azerbaijan,AZE,2020-01-04,0
Azerbaijan,AZE,2020-01-05,0
Azerbaijan,AZE,2020-01-06,0
Azerbaijan,AZE,2020-01-07,0
Azerbaijan,AZE,2020-01-08,0
Azerbaijan,AZE,2020-01-09,0
Azerbaijan,AZE,2020-01-10,0
Azerbaijan,AZE,2020-01-11,0
Azerbaijan,AZE,2020-01-12,0
Azerbaijan,AZE,2020-01-13,0
Azerbaijan,AZE,2020-01-14,0
Azerbaijan,AZE,2020-01-15,0
Azerbaijan,AZE,2020-01-16,0
Azerbaijan,AZE,2020-01-17,0
Azerbaijan,AZE,2020-01-18,0
Azerbaijan,AZE,2020-01-19,0
Azerbaijan,AZE,2020-01-20,0
Azerbaijan,AZE,2020-01-21,0
Azerbaijan,AZE,2020-01-22,0
Azerbaijan,AZE,2020-01-23,0
Azerbaijan,AZE,2020-01-24,0
Azerbaijan,AZE,2020-01-25,0
